variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
SN,none,202388261010854,6,false,TPA|BA|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2024,6.041,804.0,0.947,6.041,true,false,volume_persistent
SN,none,202388539010854,6,false,TPA|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2000,3.03,17.0,3.03,0.2,false,true,structure_densephase
SN,none,202410670010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2025,1.887,11.0,1.887,0.376,false,false,structure_densephase
SN,none,202410674010854,6,false,SDI|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2000,2.083,31.0,2.083,0.151,false,true,structure_densephase
SN,none,202411165010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt,MCuFt,2024,2.261,60.0,1.923,2.261,false,false,structure_densephase
SN,none,202411212010854,6,false,BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,MCuFt,2024,1.267,42.0,0.763,1.267,true,false,volume_persistent
SN,none,202411330010854,6,false,TPA|CCF|TCuFt|SCuFt,SCuFt,2025,1.754,26.0,0.467,1.754,true,false,volume_persistent
SN,none,202431024010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2017,4.302,231.0,4.302,3.384,false,true,structure_densephase
SN,none,202431162010854,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2027,2.262,211.0,0.37,2.262,true,false,volume_persistent
SN,none,202431441010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt,MCuFt,2022,11.579,42.0,2.857,11.579,true,false,volume_persistent
SN,none,202431453010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2027,4.516,258.0,4.516,2.376,false,false,structure_densephase
SN,none,202431460010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2022,2.083,161.0,2.083,1.704,true,false,volume_persistent
SN,none,202431630010854,6,false,TPA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2027,1.167,112.0,0.47,1.167,true,false,volume_persistent
SN,none,202431633010854,6,false,TPA|BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2027,2.33,160.0,0.763,2.33,true,false,volume_persistent
SN,none,202431635010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2027,196.552,537.0,3.226,196.552,false,false,structure_densephase
SN,none,202454595010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2028,1.779,151.0,1.111,1.779,true,false,volume_persistent
SN,none,202454726010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2028,6.631,602.0,2.585,6.631,false,false,structure_densephase
SN,none,202455055010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt,MCuFt,2028,25.458,278.0,2.41,25.458,false,false,structure_densephase
SN,none,202455113010854,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt,MCuFt,2028,8.991,49.0,2.703,8.991,false,false,structure_densephase
SN,none,202455119010854,6,false,TPA|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2028,1.758,210.0,1.136,1.758,true,false,volume_persistent
SN,none,202455129010854,6,false,TPA|CCF|TCuFt|MCuFt,MCuFt,2028,1.53,33.0,0.258,1.53,true,false,volume_persistent
SN,none,202455421010854,6,false,TPA|BA|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2028,2.169,292.0,2.128,2.169,true,false,volume_persistent
SN,none,202455423010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2003,2.632,20.0,2.632,0.444,false,true,structure_densephase
SN,none,202538861010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|BdFt,BdFt,2029,8.333,28.0,5.769,8.333,false,false,structure_densephase
SN,none,202538862010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2029,2.739,127.0,0.862,2.739,true,false,volume_persistent
SN,none,202538866010854,6,false,TPA|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2029,3.922,39.0,0.443,3.922,true,false,volume_persistent
SN,none,202539001010854,6,false,TPA|BA|SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2004,7.407,84.0,7.407,1.168,false,true,structure_densephase
SN,none,202539506010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2029,1.655,243.0,0.61,1.655,true,false,volume_persistent
SN,none,202539507010854,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2029,1.554,191.0,0.685,1.554,true,false,volume_persistent
SN,none,202566288010854,6,false,TPA|BA|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2030,2.792,372.0,0.667,2.792,true,false,volume_persistent
